artist,song,doc_str,term_count
ADELE,Wild Wild West,souc0u8197 got hitched au8197 dress did was make stressed got soaked west was gallivanting silhouettes s met jingler west was sparrowcatching wilderness ahooh do waste time ve got ahooh backbone steel ahooh do push shoot ahooh look kill ahooh do waste time ve got ahooh backbone steel ahooh do push shoot look kill ya la san francisco lost mind san bernardino chula vista modesto broke heart san diego m cutting shines west had bed man save s got churched west care find god impress ahooh do waste time ve got ahooh backbone steel do waste time ahooh do push shoot ahooh look kill shoot ahooh do waste time ve got ahooh backbone steel do waste time ahooh do push shoot look kill ya la san francisco lost mind san bernardino chula vista modesto broke heart san diego wild west s s west s s s west wild west la san francisco lost mind lost mind san bernardino chula chula vista modesto broke heart broke heart san diego la san francisco lost mind san bernardino,236
ADELE,Woman Like Me,don92t think understand have hands see am know ve been hurt s feel begged let 92cause want be cure do choose grow ai gon know be hoped go complacency is trait have are ai had ai had woman is man likuc0u1077 be consistency is gift givuc0u1077 is keep keep woman do is complain decisions make help lift refuse activate life truly want know s s come place give s make feel that92s think make feel that92s projection s rejection put heart line time asked you92ve gone changed mind lovin was breakthrough saw heart do man get love had do care oh complacency is trait have are ain92t had ai had woman is man be consistency is gift give is keep keep woman outro nan woman time complacency woman is trait have woman are woman ai had ai had woman woman,88
AMY WINEHOUSE,(There Is) No Greater Love,sweeter song heart is thrill than bring sweeter song than sing sing ooh re thing ve known think are are is love world s,22
AMY WINEHOUSE,A Song for You,ve acted life stages people watching re m singing song know image is hope be ve treated see ooh s one darling please see re m singing song taught secrets truth withholding nothing came front baby was hiding m words coming listen melody love is hiding love place s space time love life door friend mine life is remember remember remember remember remember being was singing song yeah outro nan were was singing song singing song were was singing song were was singing song like nan spoken outro nan know donny hathaway know see hathaway is carleen anderson marvin gaye,83
AMY WINEHOUSE,Addicted,care brave give leave leave dro smoke weed man gots call man get mine get yours is make attack bring bag man come check door make got m security teams smoke weed man gots call man get mine get yours m man learn got man gots burn do make difference end have smoke home grown s got addicted does dick did like nan outro nan get mine get yours,52
AMY WINEHOUSE,Amy Amy Amy,show feels walk desk heels leg resting chair side pulls hair amy amy amy ve been amy amy amy s ignore masculine spin spell think wear amy amy amy parallel makes imagine worse weakness sex time shoulders flex way shirt hangs back train thought spins right track amy amy amy ve been amy amy amy s ignore masculine spins spell yeah think wear amy amy amy parallel style diesel jeans immobile think means peeks top let know stop picture mind drew know look amy amy amy ve been amy amy amy re ignore masculine spin spell think wear amy amy amy parallel energy abused lyrics go clock hair eyes drift fantasise amy amy amy ve been amy amy amy s ignore masculine spins spell think wear amy amy amy parallel amy amy amy ve been yeah amy amy amy s ignore masculine spins spell think wear yeah,188
AMY WINEHOUSE,Back to Black,me head tears dry get guy went knew removed went tread track odds are stacked go said goodbye words died times go go go love s love blow love puff life is pipe m penny rollin walls said goodbye words died times go go said goodbye words died times go go black black go go said goodbye words died times go go said goodbye words you know i92m no good say did do today sniffed was tanqueray re fella guy hand stella fly time m door tear men roger moore cheated knew told was trouble know m upstairs bed exboy s place get joy thinkin throes is buzzer goes run meet ya chips pita say married re be none cried kitchen floor cheated knew told was trouble know m instrumental break nan sweet reunion jamaica spain re were m tub seat lick lips soap feet notice carpet burn stomach drop guts churn shrug s stuck knife cheated knew told was trouble know m cheated knew,137
AMY WINEHOUSE,"Best Friends, Right?",communicate need fight re friends re pretending do care s resentment air do want re home night are friends re stephanie m know faces mean s smoke forget everything happened nicky right says win do wan tell anythin think feel are friends do like way say name re looking someone blame blame want suffer was born are friends re stephanie m know faces mean s smoke forget everything happened had love was s one wan smoke buy rizla get dro are friends outro nan,55
AMY WINEHOUSE,Between the Cheats,kissed horseshoe stuck boxing glove anyone s seen victories defeats knows take cleaners come cheats cheats ah cheats cheats ah cheats husband is hustler makes housewife blush m holding hand m royal flush women drink swim eyes go home cash chips ve got bottles jack hearts is jackpot cheats ah cheats cheats ah between have lock eyes know is heart beat s winning secret s sworn cheats cheats ah cheats cheats ah between,59
AMY WINEHOUSE,Brother,find place do find words do condescend bore does need child needs friend son story ooh look way did priority be look way did be way were ooh be hold mother are age life turns brother realise do have answer man responsibility comes expect understand live life s ooh look way did ooh priority be look way did look be way were look way did priority be look way did look be way were outro nan way were be oohoohoohooh valerie version go look water think things re doin head paint picture ve come home body been mess ve missed ginger hair way dress wo come stop makin fool do come valerie valerie valerie valerie did have go jail put house sale did get lawyer hope did catch ten hope find man fix ya are shopping change colour hair are did have pay fine were dodgin time are dizzy ve come home body been mess ve missed ginger hair way dress wo come stop makin fool do come valerie valerie valerie valerie go look water think things re doin head paint picture ve come home body been mess ve missed ginger hair way dress wo come stop makin fool do come valerie valerie valerie valerie outro nan valerie valerie valerie valerie valerie valerie valerie,275
